sentence_id,byte_length,tau_0.5_num_patches,tau_0.5_avg_patch_size,tau_1.0_num_patches,tau_1.0_avg_patch_size,tau_1.5_num_patches,tau_1.5_avg_patch_size,tau_2.0_num_patches,tau_2.0_avg_patch_size,tau_2.5_num_patches,tau_2.5_avg_patch_size
0,1378,1105,1.25,500,2.76,466,2.96,466,2.96,466,2.96
1,876,706,1.24,317,2.76,291,3.01,291,3.01,291,3.01
2,1239,997,1.24,468,2.65,423,2.93,423,2.93,419,2.96
3,1161,920,1.26,416,2.79,384,3.02,384,3.02,384,3.02
4,552,423,1.3,203,2.72,182,3.03,182,3.03,182,3.03
5,772,606,1.27,277,2.79,254,3.04,254,3.04,253,3.05
6,950,754,1.26,349,2.72,321,2.96,321,2.96,319,2.98
7,983,784,1.25,367,2.68,333,2.95,333,2.95,333,2.95
8,1306,1043,1.25,472,2.77,433,3.02,433,3.02,433,3.02
9,1158,914,1.27,422,2.74,379,3.06,379,3.06,379,3.06
10,774,628,1.23,285,2.72,258,3.0,258,3.0,258,3.0
11,730,580,1.26,265,2.75,248,2.94,248,2.94,248,2.94
12,875,687,1.27,318,2.75,292,3.0,292,3.0,292,3.0
13,695,557,1.25,246,2.83,232,3.0,232,3.0,232,3.0
14,1061,838,1.27,393,2.7,359,2.96,359,2.96,359,2.96
15,1085,868,1.25,389,2.79,356,3.05,356,3.05,356,3.05
16,2076,1651,1.26,756,2.75,686,3.03,686,3.03,686,3.03
17,692,546,1.27,255,2.71,237,2.92,237,2.92,237,2.92
18,1154,924,1.25,420,2.75,385,3.0,385,3.0,382,3.02
19,888,701,1.27,319,2.78,296,3.0,296,3.0,296,3.0
20,914,732,1.25,341,2.68,310,2.95,310,2.95,310,2.95
21,1230,964,1.28,434,2.83,406,3.03,406,3.03,406,3.03
22,748,585,1.28,272,2.75,254,2.94,254,2.94,254,2.94
23,859,687,1.25,312,2.75,296,2.9,296,2.9,294,2.92
24,561,446,1.26,205,2.74,190,2.95,190,2.95,189,2.97
25,1076,870,1.24,409,2.63,379,2.84,379,2.84,369,2.92
26,908,717,1.27,331,2.74,304,2.99,304,2.99,304,2.99
27,832,673,1.24,312,2.67,281,2.96,281,2.96,281,2.96
28,716,575,1.25,260,2.75,237,3.02,237,3.02,237,3.02
29,894,709,1.26,324,2.76,301,2.97,301,2.97,300,2.98
30,1330,1080,1.23,491,2.71,452,2.94,452,2.94,452,2.94
31,663,529,1.25,239,2.77,221,3.0,221,3.0,221,3.0
32,717,563,1.27,268,2.68,241,2.98,241,2.98,241,2.98
33,1005,810,1.24,361,2.78,330,3.05,330,3.05,330,3.05
34,726,574,1.26,268,2.71,240,3.02,240,3.02,239,3.04
35,558,438,1.27,208,2.68,187,2.98,187,2.98,187,2.98
36,944,756,1.25,348,2.71,318,2.97,318,2.97,318,2.97
37,924,745,1.24,337,2.74,302,3.06,302,3.06,302,3.06
38,934,743,1.26,343,2.72,312,2.99,312,2.99,312,2.99
39,840,653,1.29,303,2.77,276,3.04,276,3.04,276,3.04
40,1129,904,1.25,404,2.79,378,2.99,378,2.99,378,2.99
41,978,777,1.26,344,2.84,322,3.04,322,3.04,322,3.04
42,1007,801,1.26,367,2.74,336,3.0,336,3.0,335,3.01
43,951,770,1.24,345,2.76,315,3.02,315,3.02,315,3.02
44,1096,890,1.23,401,2.73,363,3.02,363,3.02,363,3.02
45,1333,1050,1.27,472,2.82,431,3.09,431,3.09,431,3.09
46,897,707,1.27,323,2.78,302,2.97,302,2.97,302,2.97
47,1014,804,1.26,368,2.76,333,3.05,333,3.05,333,3.05
48,1315,1045,1.26,476,2.76,438,3.0,438,3.0,438,3.0
49,1115,892,1.25,413,2.7,364,3.06,364,3.06,363,3.07
50,1175,914,1.29,419,2.8,384,3.06,384,3.06,384,3.06
51,1088,876,1.24,394,2.76,361,3.01,361,3.01,361,3.01
52,1016,822,1.24,372,2.73,340,2.99,340,2.99,340,2.99
53,746,594,1.26,262,2.85,249,3.0,249,3.0,249,3.0
54,1359,1075,1.26,499,2.72,448,3.03,448,3.03,448,3.03
55,1042,825,1.26,375,2.78,346,3.01,346,3.01,346,3.01
56,744,597,1.25,272,2.74,242,3.07,242,3.07,242,3.07
57,653,534,1.22,240,2.72,220,2.97,220,2.97,220,2.97
58,884,713,1.24,328,2.7,295,3.0,295,3.0,295,3.0
59,862,677,1.27,322,2.68,290,2.97,290,2.97,288,2.99
60,440,349,1.26,152,2.89,147,2.99,147,2.99,146,3.01
61,1141,904,1.26,417,2.74,382,2.99,382,2.99,382,2.99
62,772,612,1.26,282,2.74,257,3.0,257,3.0,257,3.0
63,1148,929,1.24,431,2.66,390,2.94,390,2.94,390,2.94
64,986,783,1.26,357,2.76,330,2.99,330,2.99,330,2.99
65,1398,1125,1.24,508,2.75,468,2.99,468,2.99,468,2.99
66,1005,793,1.27,365,2.75,334,3.01,334,3.01,332,3.03
67,1075,841,1.28,391,2.75,354,3.04,354,3.04,354,3.04
68,723,574,1.26,257,2.81,242,2.99,242,2.99,241,3.0
69,992,781,1.27,353,2.81,325,3.05,325,3.05,325,3.05
70,836,675,1.24,305,2.74,277,3.02,277,3.02,277,3.02
71,858,679,1.26,318,2.7,286,3.0,286,3.0,286,3.0
72,1087,842,1.29,393,2.77,357,3.04,357,3.04,357,3.04
73,948,757,1.25,349,2.72,316,3.0,316,3.0,316,3.0
74,1235,988,1.25,445,2.78,411,3.0,411,3.0,411,3.0
75,960,772,1.24,347,2.77,322,2.98,322,2.98,322,2.98
76,1035,831,1.25,371,2.79,344,3.01,344,3.01,344,3.01
77,864,677,1.28,298,2.9,283,3.05,283,3.05,283,3.05
78,740,595,1.24,269,2.75,247,3.0,247,3.0,247,3.0
79,979,780,1.26,359,2.73,334,2.93,334,2.93,334,2.93
80,1044,845,1.24,391,2.67,356,2.93,356,2.93,353,2.96
81,575,465,1.24,212,2.71,198,2.9,198,2.9,198,2.9
82,1186,938,1.26,434,2.73,396,2.99,396,2.99,396,2.99
83,820,639,1.28,295,2.78,266,3.08,266,3.08,266,3.08
84,762,599,1.27,269,2.83,249,3.06,249,3.06,249,3.06
85,695,554,1.25,263,2.64,235,2.96,235,2.96,235,2.96
86,725,573,1.27,264,2.75,238,3.05,238,3.05,238,3.05
87,832,669,1.24,306,2.72,281,2.96,281,2.96,281,2.96
88,638,524,1.22,236,2.7,217,2.94,217,2.94,217,2.94
89,882,705,1.25,323,2.73,295,2.99,295,2.99,295,2.99
90,1359,1109,1.23,491,2.77,453,3.0,453,3.0,453,3.0
91,871,683,1.28,308,2.83,286,3.05,286,3.05,286,3.05
92,836,671,1.25,299,2.8,275,3.04,275,3.04,275,3.04
93,971,764,1.27,348,2.79,324,3.0,324,3.0,324,3.0
94,930,741,1.26,353,2.63,322,2.89,322,2.89,316,2.94
95,893,722,1.24,322,2.77,295,3.03,295,3.03,295,3.03
96,821,635,1.29,297,2.76,271,3.03,271,3.03,271,3.03
97,1380,1100,1.25,507,2.72,457,3.02,457,3.02,457,3.02
98,1350,1080,1.25,480,2.81,446,3.03,446,3.03,446,3.03
99,1017,823,1.24,366,2.78,337,3.02,337,3.02,337,3.02
100,934,738,1.27,333,2.8,310,3.01,310,3.01,310,3.01
101,753,598,1.26,273,2.76,247,3.05,247,3.05,247,3.05
102,1128,885,1.27,407,2.77,378,2.98,378,2.98,378,2.98
103,780,628,1.24,299,2.61,270,2.89,270,2.89,270,2.89
104,1191,949,1.26,418,2.85,391,3.05,391,3.05,391,3.05
105,616,495,1.24,226,2.73,207,2.98,207,2.98,207,2.98
106,1225,985,1.24,455,2.69,415,2.95,415,2.95,415,2.95
107,780,624,1.25,285,2.74,263,2.97,263,2.97,263,2.97
108,1148,911,1.26,423,2.71,392,2.93,392,2.93,392,2.93
109,970,772,1.26,348,2.79,313,3.1,313,3.1,312,3.11
110,893,718,1.24,352,2.54,331,2.7,331,2.7,330,2.71
111,984,773,1.27,359,2.74,328,3.0,328,3.0,328,3.0
112,1150,904,1.27,426,2.7,382,3.01,382,3.01,382,3.01
113,1014,808,1.25,369,2.75,343,2.96,343,2.96,343,2.96
114,959,753,1.27,344,2.79,307,3.12,307,3.12,307,3.12
115,1098,875,1.25,406,2.7,366,3.0,366,3.0,366,3.0
116,798,642,1.24,279,2.86,261,3.06,261,3.06,261,3.06
117,875,698,1.25,314,2.79,294,2.98,294,2.98,294,2.98
118,804,620,1.3,290,2.77,266,3.02,266,3.02,266,3.02
119,912,732,1.25,330,2.76,307,2.97,307,2.97,307,2.97
120,840,679,1.24,303,2.77,280,3.0,280,3.0,280,3.0
121,713,568,1.26,264,2.7,237,3.01,237,3.01,237,3.01
122,828,652,1.27,294,2.82,273,3.03,273,3.03,273,3.03
123,1303,1053,1.24,487,2.68,434,3.0,434,3.0,434,3.0
124,967,757,1.28,357,2.71,327,2.96,327,2.96,327,2.96
125,898,712,1.26,334,2.69,300,2.99,300,2.99,300,2.99
126,725,568,1.28,270,2.69,243,2.98,243,2.98,242,3.0
127,939,741,1.27,350,2.68,311,3.02,311,3.02,311,3.02
128,850,682,1.25,308,2.76,281,3.02,281,3.02,281,3.02
129,819,639,1.28,292,2.8,265,3.09,265,3.09,265,3.09
130,724,574,1.26,268,2.7,240,3.02,240,3.02,240,3.02
131,953,755,1.26,336,2.84,309,3.08,309,3.08,309,3.08
132,766,601,1.27,272,2.82,255,3.0,255,3.0,255,3.0
133,1235,972,1.27,449,2.75,417,2.96,417,2.96,416,2.97
134,888,700,1.27,328,2.71,295,3.01,295,3.01,295,3.01
135,1117,884,1.26,400,2.79,366,3.05,366,3.05,366,3.05
136,1100,879,1.25,403,2.73,367,3.0,367,3.0,367,3.0
137,1246,999,1.25,461,2.7,421,2.96,421,2.96,421,2.96
138,996,778,1.28,352,2.83,330,3.02,330,3.02,330,3.02
